cod_camp,campeonato,data de inicio,data de termino,instituição organizadora,número de salas,Tabbymaster,Equidade,Convenor
icampantonieta,I Campeonato Antonieta de Barros,02/02/2024,04/02/2024,SDdUFSC,7,Raphael Dias,Renata Freitas,Luiza Cipriani
iiberthalutz,II Campeonato Bertha Lutz Debates,26/01/2024,28/01/2024,Independente,5,Vinícius Brasileiro; Nathália magalhães,Maria Emilia,Nathália Magalhães
